Tokyo,Karuizawa,Kumagaya,Ishigakijima,Sapporo,Osaka
76,85,65,72,78,63
71,87,63,78,70,66
69,84,62,78,75,63
69,87,65,79,71,65
69,84,62,74,65,63
68,86,59,78,87,72
61,83,57,86,79,63
71,86,66,90,70,69
68,82,64,90,70,66
79,86,69,87,77,60
70,86,66,86,82,57
73,87,70,84,80,62
82,97,77,85,76,82
84,96,86,84,68,65
76,87,73,84,79,61
77,92,77,85,79,70
96,100,95,83,74,84
76,82,71,77,87,70
70,88,60,78,81,78
92,95,83,77,77,84
88,99,84,79,73,78
80,89,77,84,72,68
75,98,76,90,70,62
67,94,64,85,63,62
68,99,71,93,55,76
99,99,95,85,65,67
81,96,75,85,72,61
84,97,78,87,65,58
98,100,91,85,66,75
96,100,95,84,71,84
94,99,90,85,74,84
