Tokyo,Karuizawa,Kumagaya,Ishigakijima,Sapporo,Osaka
30.5,23.5,31.3,29.7,23.3,31.9
30.2,21.4,29.6,29.3,23.5,31.4
29.8,21.5,29.6,29,23.9,31.2
30,21.8,30.8,28.7,26.6,31.1
30.2,22.3,30.9,29.5,27.9,31.6
30.9,22.3,30.5,29.8,24.7,30.2
31.5,22.9,31.7,28.2,23.7,31.7
27.6,22.2,28.5,27.7,23.1,30.3
27.9,21.9,28.6,28.6,24,30.5
27.9,21.8,28.8,28.7,25.5,31
29.4,21.8,29.6,29.1,24.1,30.4
28.9,21.9,28.9,29.5,23.6,29.3
27.5,20.3,27.2,29.5,23.7,27.1
26.9,20.8,25.3,29.6,24,28.7
27.7,21.3,28,29.7,22.8,29.2
27.8,20.2,26.9,29.8,23,27.4
25.7,19.2,24.7,29.8,23.5,26.2
28.2,22.2,28.6,29.7,18.4,27.6
27.8,20.8,28.5,29.9,19.4,26.1
25.6,20,25.3,30.2,20.5,26.3
26,19.2,25.6,30,21.7,27.4
28.3,22.3,28.4,28.8,23.2,28.5
26.7,19.3,25.9,27.5,21,27.7
24.3,18,24.6,28.5,20.5,27.8
21.5,13.6,21.1,27.1,19.6,26.4
19.5,14.7,19.2,28,19.4,27.3
23.6,18.2,24.2,28,19.9,27.6
21.7,17,22.5,28.3,19.6,28.2
20,15.9,20.8,28.5,19.8,26.7
21.2,16,20.8,28.6,19.8,25.3
22.1,17.1,22.3,28.4,21.8,24.5
