Tokyo,Karuizawa,Kumagaya,Ishigakijima,Sapporo,Osaka
35.3,31.1,38.3,33.1,27.3,37.5
35.1,30.2,37.5,31.5,29,36.4
35,29.8,36.6,31.3,27.8,36.2
35.1,30.3,37.5,31.7,31.9,36.3
35.2,30.4,38,33.3,34.5,36.7
35.9,30.1,38.2,33,26.5,35.1
37.7,30.2,38.6,30.6,28.2,36.4
32.6,27.4,34,29.2,26.7,38
33.4,27.3,34.1,30.5,27.8,36.5
31.9,26.6,34.4,30.9,29.5,36.3
35.5,27.4,35.7,31.4,26.9,34.7
33.7,27,34.6,32.1,27.8,33.1
30.5,23.3,32.6,31.6,28.2,32.3
31.8,27.8,31,32.2,28.7,32.3
33.1,28.3,34.4,31.7,25.4,34.3
31.9,24.5,33.2,32.7,26.4,32.2
28,20.4,26,32.8,27.5,31.6
31.9,28.5,34.2,33.6,22.5,33.1
31.4,27.1,33.8,33.4,23.6,28.1
27,23.7,27,33.3,23.3,29.2
29.4,20.3,27.5,32.8,26,32.1
32.7,30,33.9,32,27.7,31.7
31.4,21.8,28.8,28.8,24.2,33.1
29.3,23.8,28.1,31.4,25.4,32.6
22.9,15.9,23.4,28.7,26.3,30.1
21.3,17.1,20.7,30.6,21.7,31.5
27.3,24.3,29.4,31.1,22.1,32.2
22.9,21.6,24.3,30.8,23,33.5
21,17.8,22.6,31.2,24.9,30.9
22.5,16.9,21.3,30.9,23.5,27.4
24.1,20,24.6,31.4,25,26.6
