ダウンロードした時刻：2024/10/28 09:45:48

,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,熊谷,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2015/8/1,31.3,8,1,38.3,8,1,26.5,8,1,65,8,1,30.5,8,1,35.3,8,1,26.6,8,1,76,8,1
2015/8/2,29.6,8,1,37.5,8,1,24.4,8,1,63,8,1,30.2,8,1,35.1,8,1,26.3,8,1,71,8,1
2015/8/3,29.6,8,1,36.6,8,1,23.1,8,1,62,8,1,29.8,8,1,35.0,8,1,26.1,8,1,69,8,1
2015/8/4,30.8,8,1,37.5,8,1,26.5,8,1,65,8,1,30.0,8,1,35.1,8,1,26.5,8,1,69,8,1
2015/8/5,30.9,8,1,38.0,8,1,26.0,8,1,62,8,1,30.2,8,1,35.2,8,1,25.7,8,1,69,8,1
2015/8/6,30.5,8,1,38.2,8,1,25.5,8,1,59,8,1,30.9,8,1,35.9,8,1,26.8,8,1,68,8,1
2015/8/7,31.7,8,1,38.6,8,1,26.4,8,1,57,8,1,31.5,8,1,37.7,8,1,26.8,8,1,61,8,1
2015/8/8,28.5,8,1,34.0,8,1,25.3,8,1,66,8,1,27.6,8,1,32.6,8,1,24.9,8,1,71,8,1
2015/8/9,28.6,8,1,34.1,8,1,24.7,8,1,64,8,1,27.9,8,1,33.4,8,1,24.7,8,1,68,8,1
2015/8/10,28.8,8,1,34.4,8,1,24.3,8,1,69,8,1,27.9,8,1,31.9,8,1,25.5,8,1,79,8,1
2015/8/11,29.6,8,1,35.7,8,1,25.3,8,1,66,8,1,29.4,8,1,35.5,8,1,25.3,8,1,70,8,1
2015/8/12,28.9,8,1,34.6,8,1,25.6,8,1,70,8,1,28.9,8,1,33.7,8,1,26.3,8,1,73,8,1
2015/8/13,27.2,8,1,32.6,8,1,24.7,8,1,77,8,1,27.5,8,1,30.5,8,1,25.3,8,1,82,8,1
2015/8/14,25.3,8,1,31.0,8,1,23.1,8,1,86,8,1,26.9,8,1,31.8,8,1,24.0,8,1,84,8,1
2015/8/15,28.0,8,1,34.4,8,1,23.5,8,1,73,8,1,27.7,8,1,33.1,8,1,24.1,8,1,76,8,1
2015/8/16,26.9,8,1,33.2,8,1,24.0,8,1,77,8,1,27.8,8,1,31.9,8,1,24.6,8,1,77,8,1
2015/8/17,24.7,8,1,26.0,8,1,23.3,8,1,95,8,1,25.7,8,1,28.0,8,1,23.6,8,1,96,8,1
2015/8/18,28.6,8,1,34.2,8,1,23.9,8,1,71,8,1,28.2,8,1,31.9,8,1,26.0,8,1,76,8,1
2015/8/19,28.5,8,1,33.8,8,1,25.0,8,1,60,8,1,27.8,8,1,31.4,8,1,25.7,8,1,70,8,1
2015/8/20,25.3,8,1,27.0,8,1,24.1,8,1,83,8,1,25.6,8,1,27.0,8,1,24.0,8,1,92,8,1
2015/8/21,25.6,8,1,27.5,8,1,23.7,8,1,84,8,1,26.0,8,1,29.4,8,1,24.5,8,1,88,8,1
2015/8/22,28.4,8,1,33.9,8,1,24.3,8,1,77,8,1,28.3,8,1,32.7,8,1,24.7,8,1,80,8,1
2015/8/23,25.9,8,1,28.8,8,1,23.7,8,1,76,8,1,26.7,8,1,31.4,8,1,24.0,8,1,75,8,1
2015/8/24,24.6,8,1,28.1,8,1,22.0,8,1,64,8,1,24.3,8,1,29.3,8,1,21.6,8,1,67,8,1
2015/8/25,21.1,8,1,23.4,8,1,18.6,8,1,71,8,1,21.5,8,1,22.9,8,1,18.2,8,1,68,8,1
2015/8/26,19.2,8,1,20.7,8,1,17.2,8,1,95,8,1,19.5,8,1,21.3,8,1,17.9,8,1,99,8,1
2015/8/27,24.2,8,1,29.4,8,1,20.4,8,1,75,8,1,23.6,8,1,27.3,8,1,20.2,8,1,81,8,1
2015/8/28,22.5,8,1,24.3,8,1,20.1,8,1,78,8,1,21.7,8,1,22.9,8,1,19.9,8,1,84,8,1
2015/8/29,20.8,8,1,22.6,8,1,19.6,8,1,91,8,1,20.0,8,1,21.0,8,1,19.1,8,1,98,8,1
2015/8/30,20.8,8,1,21.3,8,1,20.0,8,1,95,8,1,21.2,8,1,22.5,8,1,20.3,8,1,96,8,1
2015/8/31,22.3,8,1,24.6,8,1,20.6,8,1,90,8,1,22.1,8,1,24.1,8,1,20.6,8,1,94,8,1
