p,刑法犯認知件数,警察職員数,人口
愛知,85037,14356,7489946
愛媛,12599,2800,1426367
茨城,30502,5328,2981773
岡山,17209,3991,1939722
沖縄,9879,2920,1454023
岩手,5115,2474,1300963
岐阜,20192,3900,2087595
宮崎,7321,2313,1135652
宮城,18630,4360,2328133
京都,28671,7080,2579305
熊本,10879,3477,1818314
群馬,17782,3818,2012203
広島,21123,5736,2869159
香川,8802,2123,1005570
高知,5710,1935,747122
佐賀,6284,1982,847424
埼玉,76857,12583,7304896
三重,17550,3429,1860113
山形,5358,2320,1140735
山口,8695,3527,1431540
山梨,6528,1945,855502
滋賀,12435,2568,1421342
鹿児島,8205,3450,1691427
秋田,3603,2345,1056579
新潟,16424,4699,2337485
神奈川,67295,17155,9116666
青森,5753,2675,1353336
静岡,25601,6990,3786106
石川,7494,2304,1159763
千葉,68026,12867,6254106
大阪,148257,23316,8868870
大分,5384,2384,1190798
長崎,6017,3531,1413155
長野,13206,3894,2148503
鳥取,4077,1450,583351
島根,4772,1817,706198
東京,160120,46614,13297585
徳島,4643,1827,776567
栃木,16345,3791,2004417
奈良,11140,2783,1395648
富山,6223,2268,1085710
福井,4871,2052,803505
福岡,63259,11674,5120197
福島,14316,4063,1965386
兵庫,64911,12405,5638338
北海道,40359,11921,5431658
和歌山,8704,2511,1003730
