p,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
hokkaido,1058.3,1199,1349.9,1460.8,1587.7,1555.7,1620.5,1706.1,1691.5,1792.1,1914.7,1983.5,2079.4,2182.5,2295.6,2409,2544,2637,2706,2725,2754,2792,2765,2726,2686,2673,2639,2569,2545,2565.9,2513.1,2492.2,2486.8,2409.5,2368.7,2396.2,2411.1,2404.7,2464.6,2508.7,2607.8,2615.4,2694.5,2742.2
aomori,849.1,929.3,1021.4,1136.4,1224.7,1266.6,1368.3,1409.3,1409.8,1524.4,1606.4,1721.5,1830.3,1921.2,2084.8,2211,2287,2349,2310,2398,2420,2477,2394,2366,2350,2385,2287,2204,2160,2207.4,2197,2477.6,2482.9,2407.1,2366,2284.2,2349.6,2373.6,2378.3,2399.1,2536.4,2570.3,2509.3,2507.4
iwate,838.9,923.7,1063.5,1196.4,1256.3,1303.3,1383.6,1424.5,1498.4,1592.8,1698.5,1760.9,1860.1,1936.2,2096.9,2196,2298,2369,2434,2566,2573,2645,2600,2619,2640,2663,2459,2444,2412,2357.5,2336.9,2368.7,2384.9,2248.4,2214.2,2270.4,2314.6,2429.1,2558,2586.4,2666.4,2683.8,2776.2,2841.1
miyagi,1016.7,1111.5,1238.3,1352.4,1417.6,1530.6,1617.1,1680.3,1752.4,1833.7,1940.6,2009.3,2157.5,2212.3,2376.3,2441,2676,2662,2622,2710,2716,2827,2838,2726,2757,2735,2640,2538,2511,2518.9,2581.3,2630.3,2647.8,2510.9,2477.6,2388,2416.3,2583.9,2652.1,2761.9,2915.1,2890.5,2935.7,2944.9
akita,933.9,1028.6,1152.4,1220.1,1274.9,1419.4,1443.7,1503.2,1553.4,1651,1727.6,1793.3,1881,1979.3,2122.1,2181,2273,2270,2306,2365,2372,2499,2484,2449,2424,2417,2396,2328,2343,2307.2,2319.8,2430.5,2504.3,2341.4,2356.3,2257.9,2305.9,2305.3,2383.8,2404.6,2489.8,2559.6,2703,2697.2
yamagata,990.1,1056.7,1166.8,1280.5,1323.6,1386.6,1475.6,1574,1632.4,1714.3,1831.2,1902.5,1968.2,2087.5,2203.8,2321,2438,2438,2433,2510,2538,2630,2609,2577,2582,2591,2432,2414,2377,2369.6,2387.8,2451.1,2554.5,2322.9,2223,2417,2407.4,2424.6,2550.6,2494.9,2625.2,2698.7,2874.6,2896.6
fukushima,941.4,1040,1139.7,1277.1,1396.6,1462.1,1569.4,1618.8,1697.5,1782.9,1856.2,1920.5,2037.4,2160,2384.7,2428,2571,2607,2567,2685,2729,2884,2880,2832,2786,2853,2713,2670,2637,2746.3,2782.4,2853.8,2876.1,2719.5,2573.8,2432.4,2324.8,2480.6,2708.1,2771.9,2830.2,2902.4,2945.6,2942.8
ibaragi,1049.8,1142.1,1269.9,1386.1,1479.2,1721.9,1764.1,1840.1,1885.8,2034.7,2288.2,2414.9,2365.4,2567.4,2609.1,3025,3083,3049,3021,3107,3120,3197,3196,3090,2996,3043,2862,2927,2977,2842.6,2841.8,2910.4,3021.1,2990,2653.1,2790.4,2900,2819.9,2813.5,2871.7,3072.5,3099.5,3296,3327.3
tochigi,1042.8,1207.4,1318.3,1530.5,1723.9,1768.8,1823.8,1858.8,1954.9,2056,2229.8,2333.2,2408.7,2579,2846.4,2841,3002,2985,3113,3078,3202,3309,3287,3215,3143,3213,3032,3033,3054,3012.3,3086.9,3087.5,3122.3,2914.6,2858.6,3014,3005.4,2961.9,3156.8,3133.6,3361.5,3369.4,3478.1,3479.2
gunma,948.2,1078.5,1166.7,1310.9,1425.4,1534.4,1681.7,1716.6,1819.8,2038.9,2103.8,2133,2297.5,2514.4,2654.9,2748,2912,2876,2912,2990,3049,3136,3157,3080,3049,3019,2901,2875,2911,2842.1,2850.8,2878.4,2929,2656.6,2534.8,2758.8,2759,2799.2,2960.4,2991.4,3143.7,3159.6,3275.8,3282.9
