name,T,L,Z,group
昭和基地,-10.5,-69,18,5
メルボルン,14.5,-37.39,132,4
ブエノスアイレス,17.8,-34.35,25,3
ブリスベン,20.3,-27.23,4,3
リオデジャネイロ,23.9,-22.55,5,2
リマ,19.3,-12.01,12,2
ジャカルタ,28,-6.11,8,1
シンガポール,27.6,1.22,5,1
ボゴダ,13.4,4.42,2547,1
コロンボ,27.7,6.54,7,1
アジスアベベ,16.6,9.02,2354,1
チェンマイ,29,13,13,2
メキシコ,16.7,19.24,2309,2
ドーハ,27,25.15,11,2
カイロ,21.7,30.06,116,3
ケープタウン,16.8,33.58,46,3
東京,15.4,35.42,25,3
サンフランシスコ,14.5,37.37,6,4
北京,12.9,39.56,55,4
サラエボ,10.4,43.52,630,4
リオン,11.9,45.43,197,4
チューリッヒ,9.4,47.22,555,5
プラハ,8.4,50.06,380,5
ダブリン,9.8,53.26,68,5
レイキャビク,4.7,64.08,54,5
